number,name,contact,website_link,latitude,longitude,address,ownership,type_of_hospital,specialized_hospital,medical_college,avaleabale_bed,cost_ratings,service_ratings,icu_iccu,nicu,online_survice,emergency_suppory,ambulence_support,basic_ambulence,motorcycle-ambulance,neonatology_ambulence,life_support_ambulance,advanced_life_support_ambulance,source
148,Hia,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.71325,90.3996,Baridhara J Block,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
149,Asarunnesa Memorial Hospital,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.71325,90.3996,QFW7+Q3H Mogardia Satarkul road Uttar Badda,Private hospital,Hospital,all,0,,,5,,,,,,,,,,,
150,Upazila Health Complex,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.71325,90.3996,RC66+4XQ,Government hospital,Clinic,all,0,,,,,,,,,,,,,,
151,NIDCH,,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,23.71325,90.3996,Yes,Government hospital,Clinic,all,0,,,4.2,,,,,,,,,,,
152,RAHETID,,,23.71325,90.3996,C/A Zahed Plaza 3rd Floor 30 Gulshan North Ave,Government hospital,Hospital,all,0,,,4.3,,,,,,,,,,,
153,Dhaka Infectious Diseases Hospital,,http://facilityregistry.dghs.gov.bd/org_profile.php?org_code=10000070,23.71325,90.3996,,Private hospital,Hospital,all,0,,,4.2,,,,,,,,,,,
154,SA ATIF,,,23.71325,90.3996,Mohakhali Dhaka 7TALA,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
155,Kustho Niyontron Institute & Hospital,,,23.71325,90.3996,QCH5+RJX TB Gate Rd,Government hospital,Hospital,tb,0,,,3.7,,,,,,,,,,,
156,ICVB,,,23.71325,90.3996,Q9GX+GV9 icddr'b,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
157,7 TALA,,,23.71325,90.3996,QCH4+9GW,Private hospital,Clinic,all,0,,,5,,,,,,,,,,,
158,C/A,,,23.71325,90.3996,QCH3+PRR,Private hospital,Clinic,all,0,,,5,,,,,,,,,,,
159,Briddhi,,http://briddhi.xyz/,23.71325,90.3996,4th Floor house 429 Rd 30,Government hospital,Clinic,mother and chield,0,,,,,,,,,,,,,,
160,DNCC Dedicated Covid-19 Hospital,,http://dncc-dch.gov.bd/,23.71325,90.3996,Shaheed Tajuddin Ahmed Ave,Private hospital,Hospital,all,0,,,,,,,,,,,,,,
161,Ad akher ali,,,23.71325,90.3996,80 Shaheed Tajuddin Ahmed Avenue Dhaka 1208 Bangladesh,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
162,Dr. Nurul Islam Hospital,,,23.71325,90.3996,Mirpur 2 no Road Dhaka,Private hospital,Hospital,all,0,,,5,,,,,,,,,,,
163,CKD & Urology Hospital ( ICU & NEPHROLOGY UNIT),,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.71325,90.3996,29 Road No. 3,Private hospital,Hospital,all,0,,,3.9,,,,,,,,,,,
164,Government Employee Hospital,,https://ssl.gstatic.com/local/servicebusiness/default_user.png,23.71325,90.3996,Government Staff Hospital College Rd,Government hospital,Hospital,all,0,,,4.3,,,,,,,,,,,
165,Zadie,,,23.71325,90.3996,234 Nawabpur Rd,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
166,F.A. Memorial Hospital,,,23.71325,90.3996,41/3 B Block Rd No. 1,Private hospital,Hospital,all,0,,,4.8,,,,,,,,,,,
167,Rojob House,,,23.71325,90.3996,Keari Zannat House # 713 Rd No. 10,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
168,NEW DHAKA MODERN CLINIC,02-57313359,https://www.newdhakamodernclinic.com/,23.71337,90.4012,4D.C.Roy Road Mitford Rd ???? Bangladesh,Private hospital,Clinic,all,0,,3,4.1,0,0,0,0,1,1,1,0,0,0,https://www.newdhakamodernclinic.com/
169,Popular Diagnostic Center Ltd. (English Road),09666 78780910636,www.populardiagnostic.com,23.71358,90.411,2 ????? ??? Dhaka Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,3.2,3.6,0,0,0,0,1,1,1,0,0,0,www.populardiagnostic.com
170,Dolfin Hospital & Infertility Centre (DHIC) Kamrangirchar,,https://www.dolfinhospitalbd.com/,23.71365,90.3713,Kathpotti কা� পট্টি Kamrangirchar,Private hospital,Hospital,all,0,,,5,,,,,,,,,,,
171,Lab Asia Diagnostic Centre,,,23.71365,90.4122,QCF4+V5H,Private hospital,Diagnostic,Diagnostic,0,,,,,,,,,,,,,,
172,Dhaka Unique Hospital,,,23.71378,90.4056,31 Nawab Eusuf Rd,Private hospital,Hospital,all,0,,,,,,,,,,,,,,
173,KC Hospital & Diagnostic Center,,,23.71405,90.4693,2620 KC Plaza Noapara Shahid Latif Rd,Private hospital,Diagnostic,Diagnostic,0,,,3.6,,,,,,,,,,,
174,Shefa Hospital & Diagnostic Center,,,23.71405,90.4693,Q9F7+GWX Khilji Rd,Private hospital,Diagnostic,Diagnostic,0,,,4.3,,,,,,,,,,,
175,Safa Marwa Hospital & Diagonstic Centre,,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,23.71405,90.4693,·,Private hospital,Hospital,all,0,,,4.6,,,,,,,,,,,
176,Hi-Care General Hospital Ltd.,,http://www.hicarebd.com/,23.71491,90.4651,House # 24 & 26 Rd N- 17 Lake Dr Rd,Government hospital,Hospital,all,0,,,3.1,,,,,,,,,,,
177,Medi Fair General Hospital,,,23.71491,90.4651,21/14 johori mohollah Babar Rd,Private hospital,Hospital,all,0,,,5,,,,,,,,,,,
178,Salman Group Ltd.,,,23.71521,90.4013,PCJJ+R22 Form Mugda Main Road Mugda Manda Road,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
179,Royal General Hospital Ltd.,,https://ssl.gstatic.com/local/servicebusiness/default_user.png,23.71521,90.4969,PF22+957,Private hospital,Hospital,all,0,,,3.9,,,,,,,,,,,
180,DAKTER SEBA,,,23.71574,90.4698,1 Rd No. 1,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
181,Baridhara physiotherapy center (B.G.H),,https://baridhara-physiotherapy-center-bgh.business.site/?utm_source=gmb&utm_medium=referral,23.71591,90.4689,Ka 51/1 Progoti Sharoni Nadda Dhaka 1212 Bangladesh Dhaka,Private hospital,Hospital,all,0,,,5,,,,,,,,,,,
182,Salauddin Specialized Hospital Ltd.,#ERROR!,www.sshlbd.com,23.71693,90.4201,44/A Hatkhola Rd Dhaka 1203 Bangladesh,Private hospital,Hospital,all,0,120,3.4,4.3,1,1,1,1,1,1,1,0,0,0,www.sshlbd.com
183,DESH DIAGNOSTIC & MEDICAL CENTRE,,_,23.71706,90.3896,34 Shaista Khan Rd Dhaka Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,_,_,0,0,0,0,1,1,1,0,0,0,
184,Asia Medical Services,01610-552470,_,23.7175,90.49,32 Sheikh BhabanHaji Nagar68 no wordStaff quaterDemraDhaka Dhaka City Dhaka 1361 Bangladesh,Private hospital,Clinic,all,0,,3,3,0,0,0,0,1,1,1,0,0,0,
185,Medi Health Central Hospital & Digital Diagnostic Center,,https://ssl.gstatic.com/local/servicebusiness/default_user.png,23.71761,90.4747,PF9F+3Q9 Basherpul Bus Stand Dhaka - Demra Hwy,Private hospital,Diagnostic,Diagnostic,0,,,3.8,,,,,,,,,,,
186,Ar-Raha Hospital & Diagnostics Ltd.,,,23.71762,90.4913,1230 Hajj Camp Ashiyan City Rd,Private hospital,Diagnostic,Diagnostic,0,,,4.2,,,,,,,,,,,
187,Noble Care Hospital & Diagnostic Ltd.,,,23.71762,90.4913,246 246 W Agargaon,Private hospital,Diagnostic,Diagnostic,0,,,4.5,,,,,,,,,,,
188,IBN SINA DIAGNOSTIC CENTER LALBAGH LTD,10615 +88 09610010615,ibnsinatrust.com,23.71818,90.3866,Lalbagh Dhaka Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,3.2,4.2,1,1,1,1,1,1,1,1,1,1,ibnsinatrust.com
189,Holy Aid Hospital Limited,02-750 11 44 01955 99 00 55 01955 99 77 55,https://www.holyaidhospitalltd.com/,23.71897,90.4906,Lake View Sarker Plaza Hazinagar Sarulia Demra ???? 1361 Bangladesh,Private hospital,Hospital,all,0,,3,3.5,0,0,0,0,1,1,1,0,0,0,https://www.holyaidhospitalltd.com/
190,Digital Fast Aid Diagnostic Center,01780-888444,_,23.71928,90.373,Munshihati Dhaka Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,3.4,3.8,0,0,0,0,1,1,1,0,0,0,
191,Dhaka Healthcare Systems Ltd.,,,23.71939,90.4164,House # 07 Road # 08  Madani Avenue baridhara j block Rd,Private hospital,Hospital,all,0,,,4,,,,,,,,,,,
192,Euro Healthcare Ltd,,http://eurohealthcareltd.com/,23.71939,90.4164,House-7 Road-14/C,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
193,Active Healthcare,,https://quicktelemed.com/,23.71939,90.4164,38 Gareeb-e-Nawaz Ave,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
194,supermax healthcare limited,,,23.71939,90.4164,Genetic Plaza(5th Floor) House No. 16 Road: 16 27 Old,Private hospital,Clinic,all,0,,,5,,,,,,,,,,,
195,Shurjer Hashi Clinic Shahjadpur Dhaka,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.71973,90.4282,Ayasa General Store (1st Floor) Gha-1076Sahajadpur Vatara 1212,Private hospital,Clinic,all,0,,,4.7,,,,,,,,,,,
196,MONOWARA ORTHOPEDIC AND GENERAL HOSPITAL,01713-143152,_,23.71981,90.4288,35/7 1 Kamalapur Rd Dhaka 1203 Bangladesh,Private hospital,Hospital,Orthopedic,0,,3,3.8,0,0,0,0,1,1,1,0,0,0,
197,Md Rezaya Rabbi Reza,,,23.71984,90.3731,Shankar Bus Stand,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
198,Metro Degital Diagnostic and Medical Center,01634-046559,https://www.bizsouthasia.com/BD/metro-digital-diagnostic-medical-center-01634-046559,23.71993,90.3738,Iqbal Tower East Rasulpur Main Road Adjacent Rony Market Kamrangirchar P99F+XGG Dhaka 1211 Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,3,3,0,0,0,0,1,1,1,0,0,0,https://www.bizsouthasia.com/BD/metro-digital-diagnostic-medical-center-01634-046559
199,Trauma Center & AO Orthopaedic Hospital (Pvt.) Ltd.,,http://www.traumacenter.com.bd/,23.71996,90.4288,22 8/A Mirpur Rd,Private hospital,Hospital,Orthopedic,0,,,3.9,,,,,,,,,,,
200,Nurjahan orthopedics and General Hospital,,,23.71996,90.4288,Rupayan Shelford 23/6 Mirpur Rd,Private hospital,Hospital,Orthopedic,0,,,3.6,,,,,,,,,,,
201,SMB Pharma,,,23.72023,90.3812,House-14Block-BTarartech mosjid,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
202,Our Health Aid Hospital Limited,01978-804888,https://health-aid-hospital.business.site/,23.72143,90.3881,50 Dhakeshwari Rd Lalbagh Rd Dhaka 1205 Bangladesh,Private hospital,Hospital,all,0,,3,3.1,0,0,0,0,1,1,1,0,0,0,https://health-aid-hospital.business.site/
203,Dhaka Health Care Hospital,,,23.72144,90.3881,Muktijoddha Tower-1(4th Floor) College Gate,Private hospital,Hospital,all,0,,,,,,,,,,,,,,
204,Holy Health Hospital,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.72144,90.3881,R9CW+263,Private hospital,Hospital,all,0,,,3.2,,,,,,,,,,,
205,Health Aid Hospital Limited,,,23.72144,90.3881,50 Dhakeshwari Rd Lalbagh Rd,Private hospital,Hospital,all,0,,,3.1,,,,,,,,,,,
206,Ever Health Hospital Ltd,,,23.72144,90.3881,45 Mitford Road Mitford Tower Dhaka-1100 Dhaka,Private hospital,Hospital,all,0,,,5,,,,,,,,,,,
207,Pure Scientific Diagnostic Services Ltd.,01884-698443,_,23.72251,90.3982,P9FX+275 Hussaini Dalan Rd Dhaka Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,_,_,0,0,0,0,0,0,0,0,0,0,
208,Chankharpul General Hospital,,https://ssl.gstatic.com/local/servicebusiness/default_user.png,23.72332,90.4012,PCF2+C8M Nawab Katra Rd,Government hospital,Hospital,all,0,,,3.3,,,,,,,,,,,
209,Chankharpul CDIC,,,23.72383,90.4003,P9FW+Q8J,Private hospital,Clinic,all,0,,,3.7,,,,,,,,,,,
210,Safa Diagnostic Center,,,23.72408,90.3872,QCV2+F7C,Private hospital,Diagnostic,Diagnostic,0,,,,,,,,,,,,,,
211,Patowary Diagnostic Centre,,,23.72408,90.3872,Niketon Bazar Gate Outside of Niketon 5th Gate Bir Uttam Mir Shawkat Sarak,Private hospital,Diagnostic,Diagnostic,0,,,4,,,,,,,,,,,
212,Mirpur General Hospital And Diagnostic Centre Mirpur-12,,,23.72408,90.3872,14/11 Mity Plaza Mirpur-12 Dhaka,Private hospital,Diagnostic,Diagnostic,0,,,4.5,,,,,,,,,,,
213,Modern Health Care Ltd,,_,23.72436,90.3959,18/1 (1st floor) Medical moor 1211 ???? Bangladesh,Private hospital,Clinic,all,0,,_,_,0,0,0,0,1,1,1,0,0,0,
214,Matador Diagnostic & Wellness Center Ltd.,01713-556868,_,23.72489,90.3759,75 Nawabganj Rd Dhaka 1205 Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,3.5,4,0,0,0,0,1,1,1,0,0,0,
215,Confirm Diagnostic Ltd.,01720-372323,_,23.72589,90.3767,23/B MC Roy Lane Pilkhan Road BGB No1 Gate Dhaka 1211 Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,3,3,0,0,0,0,1,1,1,0,0,0,
216,Dhaka Medical College Hospital,,http://www.dmc.gov.bd/,23.7277,90.3992,Secretariat Rd,Government hospital,Medical college hospital,all,1,,,4.3,,,,,,,,,,,
217,Dhaka Imperial Hospital,,http://imperialhospitalbd.org/,23.7277,90.3992,Auchpara,Private hospital,Hospital,all,0,,,3.6,,,,,,,,,,,
218,AZIMPUR DIAGNOSTIC & CONSULTATION CENTRE,01826-660777,_,23.72859,90.3854,Azimpur Dhaka Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,_,_,0,0,0,0,0,0,0,0,0,0,
219,Ever Green,,http://evergreenmedicalbd.com/,23.7287,90.3897,2nd & 3rd floor The Flamenco 32 Dhaka - Mymensingh Hwy,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
220,Ibn Sina medical college Dhaka,,,23.72883,90.4344,·,Private hospital,Medical college hospital,all,1,,,4.4,,,,,,,,,,,
221,Islami Bank Central Hospital Kakrail,,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,23.72904,90.4152,30 Islami Bank Hospital Bhaban VIP Rd,Private hospital,Hospital,all,0,,,4,,,,,,,,,,,
222,Islami Bank Hospital Motijheel,,https://ssl.gstatic.com/local/servicebusiness/default_user.png,23.72919,90.417,24/B Outer Circular Rd,Private hospital,Hospital,all,0,,,4,,,,,,,,,,,
223,Dhaka Mohanagar General Hospital,,http://www.dhakasouthcity.gov.bd/,23.72931,90.4304,PC74+J45,Private hospital,Hospital,all,0,,,3.8,,,,,,,,,,,
224,Monira General Hospital NICU PICU,,,23.72931,90.4304,105/F W Agargaon,Private hospital,Hospital,all,0,,,4.1,,,,,,,,,,,
225,Infertility Solution By Dr. Md Rafiqul Islam Bhuiyan,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.72933,90.4301,level 3-4 Plot 10 Block E,Private hospital,Clinic,Fertility ,0,,,4.5,,,,,,,,,,,
226,Kalatiya central hospital (pvt) Ltd.,01718-489749,_,23.73024,90.278,1 Kholamora Hazratpur Road Kalatiya 1313 Bangladesh,Private hospital,Hospital,all,0,,3,3.6,0,0,0,0,1,1,1,0,0,0,
227,EUREKA DIAGNOSTIC AND MEDICAL CENTRE,,_,23.73121,90.416,37/2 1st Floor Zaman Tower Kamalapur Box Culvert Rd ???? 1000 Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,_,_,0,0,0,0,1,1,1,0,0,0,
228,Modern Diagonistic Center - Dhanmondi,,http://www.akmmc.edu.bd/,23.73174,90.4152,House # 17 Rd No. 8,Private hospital,Diagnostic,Diagnostic,0,,,3.8,,,,,,,,,,,
229,Al-Ghofily Medical Centre,,,23.73194,90.4205,17/A Rd No 17A,Private hospital,Clinic,all,0,,,4.3,,,,,,,,,,,
230,ASIA DIAGNOSTIC & MEDICAL CENTRE LTD.,#ERROR!,www.asiadiagnosticcentre.com,23.73214,90.4204,PCJC+V52 Toyenbee Circular Road Dhaka Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,_,_,0,0,0,0,0,0,0,0,0,0,
231,Arabian Medical Center,,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,23.73269,90.4154,Closed,Private hospital,Clinic,all,0,,,3.8,,,,,,,,,,,
232,Bangladesh Bank Medical Center Motijheel Dhaka,,,23.73269,90.4155,PCGF+J55 Kamalapur Box Culvert Rd,Private hospital,Clinic,all,0,,,5,,,,,,,,,,,
233,Sunlight Diagnostic Center,01712-205935,_,23.73272,90.4136,111 Naya Paltan Dhaka 1000 Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,3,4.4,0,0,0,0,0,0,0,0,0,0,
234,MODERN DIAGNOSTIC CENTRE LTD.,,_,23.73288,90.4153,PCM8+542 DIT Ave Dhaka Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,_,_,0,0,0,0,1,1,1,0,0,0,
235,MODERN DIAGNOSTIC CENTRE LTD,,_,23.73288,90.4153,PCM8+542 DIT Ave Dhaka Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,_,_,0,0,0,0,1,1,1,0,0,0,
236,MEDINET MEDICAL SERVICES PVT. LIMITED,#ERROR!,https://www.medinetmedical.com/,23.73296,90.4191,2nd Floor Jomidar Place 291 Inner Circular Road Dhaka 1205 Bangladesh,Private hospital,Diagnostic,all,0,,3.2,4,0,0,0,0,1,1,1,0,0,0,https://www.medinetmedical.com/
237,PRIME DIAGNOSTIC LIMITED,01774-814004,https://www.primediagnosticltd.com/,23.733,90.4128,2 Rupayan FPAB Tower Culvert Road Dhaka 1000 Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,3.2,4.2,0,0,1,1,1,1,1,0,0,0,https://www.primediagnosticltd.com/
238,Prime diagnosticlimited,,_,23.733,90.4128,2 Rupayan FPAB Tower Culvert Road Dhaka 1000 Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,_,_,0,0,0,0,1,1,1,0,0,0,
239,Al Jami Diagnostic Centre,#ERROR!,https://www.al-jamidiagnosticcenterbd.com/,23.73322,90.4118,87 Purana Paltan Lane Culvert Road Patan 3rd Floor Tower Dhaka 1000 Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,3,3,0,0,0,0,1,1,1,0,0,0,https://www.al-jamidiagnosticcenterbd.com/
240,Al-Maha Diagnostic Center & Medical Services,,_,23.73378,90.4157,53 3 DIT Ave Dhaka Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,_,_,0,0,0,0,1,1,1,0,0,0,
241,Ship Aichi Medical Service Ltd.,,,23.73462,90.4157,V9VG+PGG,Private hospital,Clinic,all,0,,,4.3,,,,,,,,,,,
242,Malancha Medical Services Ltd.,,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,23.73462,90.4157,Closed,Private hospital,Clinic,all,0,,,5,,,,,,,,,,,
243,Medison Medical Services Limited,,https://www.medisonbd.com/,23.73462,90.4157,Rangs Paramount 2 1st Floor House - 11 Road - 17 Block - K,Private hospital,Clinic,all,0,,,4,,,,,,,,,,,
244,Saadiq Medical Services Ltd.,,http://saadiqmedical.com/,23.73462,90.4157,82 2nd floor Mohakhali Tower opposite of Titumir college Dhaka,Private hospital,Clinic,all,0,,,3,,,,,,,,,,,
245,SILMUN DIAGNOSTIC CENTRE,01921-685634,https://silmundiagnosticcenter.com/,23.73494,90.4104,??????? ??????? Naya Paltan Dhaka 1205 Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,_,3,0,0,0,0,1,1,1,0,0,0,https://silmundiagnosticcenter.com/
246,Central Police Hospital,,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,23.73537,90.4172,,Private hospital,Hospital,all,0,,,4.5,,,,,,,,,,,
247,Al -Falah Genarel Hospital & Diagnostic Center,,https://ssl.gstatic.com/local/servicebusiness/default_user.png,23.73543,90.4123,109 Maniknagar Rd,Private hospital,Diagnostic,Diagnostic,0,,,2.3,,,,,,,,,,,
248,Uddipan Sastho Sheba Kendro,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.73597,90.4198,9-10 Vhatara Rd,Private hospital,Clinic,all,0,,,5,,,,,,,,,,,
249,ISLAMI BANK SPECIALISED GENERAL HOSPITAL NAYAPALTAN,,_,23.73598,90.4145,71 72 VIP Rd Dhaka 1000 Bangladesh,Private hospital,Hospital,all,0,,_,_,0,0,0,0,1,1,1,0,0,0,
250,THE CLASSIC MEDICAL CENTRE LIMITED.,02-9360479,https://theclassicmedicalcentreltd.com/,23.73613,90.4116,73puraton palton lane Dhaka 106 2 ??????? ??? ???? 1000 Bangladesh,Private hospital,Diagnostic,all,0,,3,3.2,0,0,0,0,1,1,1,0,0,0,https://theclassicmedicalcentreltd.com/
251,PERFECT MEDICARE LTD.,01708-528821,https://perfectmedicare.com.bd/,23.73651,90.4106,40 Bijoy Nagar Ally's Center (7th floor) Dhaka-1000 ???? 1205 Bangladesh,Private hospital,Diagnostic,all,0,,_,_,0,0,0,0,1,1,1,0,0,0,https://perfectmedicare.com.bd/
252,National Ashtma Center,,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,23.73663,90.413,Yes,Private hospital,Clinic,all,0,,,4.3,,,,,,,,,,,
253,Medicine Reviewer,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.73674,90.4296,QCFQ+RW7 Shahabuddin morBadda Post office road Dhaka,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
254,Dr A G Khan Diagnostic center,01711-054037,_,23.73712,90.3867,P9PP+RMX ??? Dhaka 1205 Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,3,3,0,0,0,0,0,0,0,0,0,0,
255,Saudi Bangladesh Services Company Medical Check-Up Clinic,01819-237588,https://www.saudibanglamedicalbd.com/index.php?page=9,23.73713,90.4119,Purana Paltan Line Dhaka 1205 Bangladesh,Private hospital,Clinic,all,0,,3.2,3.7,0,0,0,0,1,1,1,0,0,0,https://www.saudibanglamedicalbd.com/index.php?page=9
256,Ifthi Diagnostic & Medical Center,,_,23.73727,90.4113,69/1 ORIANTAL Trade center Purana Paltan Line Dhaka 1205 Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,_,_,0,0,0,0,1,1,1,0,0,0,
257,SKN HEALTH SERVICES,1796436212,https://sknhealthservices.com/,23.73746,90.4075,80 Kakrail Footover Bridge Dhaka 1205 Bangladesh,Private hospital,Diagnostic,all,0,,3,2.8,0,0,0,0,1,1,1,0,0,0,https://sknhealthservices.com/
258,Md Jahir Uddin Akanda,,,23.73749,90.4284,14 Rd -16,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
259,ULTRA CARE HEALTH CENTRE,,_,23.73756,90.4096,28 29 VIP Rd Dhaka 1000 Bangladesh,Private hospital,Diagnostic,all,0,,_,_,0,0,0,0,1,1,1,0,0,0,
260,Islami Bank Central Hospital,01810-000116,ibfbd.org/ibch,23.73757,90.4097,30 Islami Bank Hospital Bhaban ?????? ??? ???? 1205 Bangladesh,Private hospital,Hospital,all,0,,3,4,0,0,0,0,1,1,1,0,0,0,ibfbd.org/ibch
261,Islami Bank Central Hospital.,01810-000116,ibfbd.org/ibch,23.73757,90.4097,30 Islami Bank Hospital Bhaban ?????? ??? ???? 1205 Bangladesh,Private hospital,Hospital,all,0,,3.2,4,0,0,0,0,1,1,1,0,0,0,
262,Islami Bank Hospital Mirpur,,http://www.ibf-bd.org/,23.738,90.422,Plot No 31 Main Road 3 Near Purobi Bus Stop Begum Rokeya sarani Block-D,Private hospital,Hospital,all,0,,,4,,,,,,,,,,,
263,Islami Bank Hospital Mugda Dhaka,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.738,90.422,1 24/B Kamalapur Manda Rd,Private hospital,Hospital,all,0,,,3.7,,,,,,,,,,,
264,jasim medecal center,,,23.73804,90.372,11 Road No 6,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
265,LASER MEDICAL CENTER LTD. - DHANMONDI,9612662244,https://lasermedicalbd.com/,23.73807,90.3772,P9QG+6VC Dhaka 1205 Bangladesh,Private hospital,Hospital,eye,0,,4,3.7,0,0,0,0,1,1,1,0,0,0,https://lasermedicalbd.com/
266,Medicine Admission Room SshmcH,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.73841,90.4428,Q99C+P9Q Unnamed Road,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
267,Panjegana Masjid,,,23.73863,90.3915,V996+J65,Private hospital,Clinic,all,0,,,4.3,,,,,,,,,,,
268,Bangladesh Eye Care Hospital Ltd,,http://www.zigatola.bdeyehospital.com/,23.73877,90.3744,21/3 Zigatola,Private hospital,Hospital,Eye,0,,,4,,,,,,,,,,,
269,Bangladesh Multicare Hospital,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.73877,90.3744,382 DIT Rd,Private hospital,Hospital,all,0,,,4.1,,,,,,,,,,,
270,Bangladesh eye care hospital,,,23.73877,90.3744,PCP7+M24,Private hospital,Hospital,Eye,0,,,,,,,,,,,,,,
271,Dhaka Eye Hospital,,https://bdeyehospital.com/,23.7388,90.4159,5 Mirpur Rd,Private hospital,Hospital,Eye,0,,,4.1,,,,,,,,,,,
272,Organic Health,,,23.73887,90.3801,9 Road-1,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
273,Anowara Medical Services 1,,_,23.73903,90.3814,House 22/B Road No. 2 Dhaka 1205 Bangladesh,Private hospital,Hospital,all,0,,_,_,0,0,0,0,1,1,1,0,0,0,
274,Ibn Sina Medical Imaging Center Zigatola.,,http://www.ibnsinatrust.com/,23.73922,90.3756,House #58 Road 2#A Zigatola Bus Stand,Private hospital,Diagnostic,Diagnostic,0,,,4.2,,,,,,,,,,,
275,Physiotherapy Center,,,23.7395,90.4204,QCH5+QG8 TB Gate Rd,Private hospital,Hospital,all,0,,,5,,,,,,,,,,,
276,Life line physiotherapy Center,,,23.7395,90.4204,QCJ4+667,Private hospital,Hospital,all,0,,,,,,,,,,,,,,
277,Popular Diagnostic Centre Ltd. (Badda),09666 78780910636,https://www.populardiagnostic.com/our-branches/18/Badda,23.73954,90.3822,House # 16 Road No. 2 Dhaka 1205 Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,3.2,3.6,0,0,0,0,1,1,1,0,0,0,https://www.populardiagnostic.com/our-branches/18/Badda
278,Popular Diagnostic Centre Ltd. (Dhanmondi),09666 78780910636,https://www.populardiagnostic.com/our-branches/1/DHANMONDI,23.73954,90.3822,House # 16 Road No. 2 Dhaka 1205 Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,3.2,3.6,0,0,0,0,1,1,1,0,0,0,https://www.populardiagnostic.com/our-branches/1/DHANMONDI
